The method converges and its spectral radio is 0.9927086718445921
The aproximation to X vector with 1296 iterations is
x0 =  -0.13420333694513376
x1 =  -1.2510358840183509
x2 =  -0.09666768149583455
x3 =  0.11833663146832815


The best aproximation you can get of vector 'b' is
b0 =  0.9999038951823074
b1 =  -3.9997727965975693
b2 =  4.940000530351263e-05
b3 =  1.0000228332974725
+-----------+----------------------+---------------------+------------------------+-------------------------+---------------+
| Iteration |          x0          |          x1         |           x2           |            x3           |     Error     |
+-----------+----------------------+---------------------+------------------------+-------------------------+---------------+
|     0     |          0           |          0          |           0            |            0            | Doesn't exist |
|     1     | 0.08714285714285713  | -1.6266666666666665 |  -0.30122380952380945  |   0.019586809523809513  |    1.66E+00   |
|     2     | -0.19611123210884346 | -0.6722421923809525 |  0.08188666111734688   |   0.24897509851967678   |    1.09E+00   |
|     3     | -0.08079632584667656 | -1.8477760087441326 |  -0.26949949927494915  |   -0.01583588289871459  |    1.26E+00   |
|     4     | -0.18811802000476818 | -0.6592937781262729 |  0.07470706695016771   |   0.25238853841065284   |    1.27E+00   |
|     5     | -0.08086228615261501 | -1.8388024161848917 |   -0.26677155469795    |  -0.014922793482759822  |    1.26E+00   |
|     6     | -0.1870955375152653  |  -0.667557435187514 |  0.07215337405482536   |   0.25062990607298397   |    1.25E+00   |
|     7     | -0.08169192459239755 | -1.8303615484429185 |  -0.26428233476630913  |  -0.013017470210171772  |    1.24E+00   |
|     8     | -0.18632295338682864 | -0.6760255028801229 |   0.0696978081288604   |   0.24871283973817593   |    1.23E+00   |
|     9     | -0.08245553674539827 |  -1.821946375548772 |  -0.26184681667487997  |  -0.011110049580742194  |    1.23E+00   |
|     10    | -0.18556542463327147 | -0.6843804298146772 |  0.06728033442856252   |   0.24681854824251973   |    1.22E+00   |
|     11    | -0.08320737602169131 | -1.8136520713494306 |  -0.2594470293853323   |  -0.009229435205073765  |    1.21E+00   |
|     12    | -0.18481909402106683 | -0.6926143105861562 |  0.06489805588762199   |    0.2449516231698989   |    1.20E+00   |
|     13    | -0.08394826124981006 |  -1.805478218820728 |  -0.2570821225697585   |  -0.007376118531597142  |    1.19E+00   |
|     14    | -0.18408361152170433 | -0.7007285662285652 |  0.06255039268176465   |    0.2431118189461611   |    1.18E+00   |
|     15    | -0.08467838097427632 | -1.7974231266255147 |  -0.2547515770007154   |  -0.005549728805258544  |    1.17E+00   |
|     16    | -0.18335881536106785 | -0.7087249261459885 |  0.060236839894546534  |   0.24129874600616355   |    1.16E+00   |
|     17    | -0.08539789240468199 |  -1.78948507078514  |   -0.252454893087648   |  -0.0037498755714879886 |    1.16E+00   |
|     18    | -0.18264455012525205 | -0.7166051030175746 |  0.057956901857832144  |   0.23951201609233827   |    1.15E+00   |
|     19    | -0.08610694969816227 | -1.7816623508688272 |  -0.25019157882738097  |  -0.001976173291683543  |    1.14E+00   |
|     20    | -0.18194066280119842 | -0.7243707849159473 |  0.05571009016456374   |   0.23775124645788756   |    1.13E+00   |
|     21    | -0.08680570474874852 | -1.7739532911055196 |  -0.24796114937547303  | -0.00022824200644054257 |    1.12E+00   |
|     22    | -0.18124700260298676 | -0.7320236353947521 |  0.05349592350571741   |   0.23601605991323782   |    1.11E+00   |
|     23    | -0.08749430724282653 | -1.7663562400708799 |  -0.24576312693232716  |  0.0014942927237013987  |    1.11E+00   |
|     24    | -0.18056342093566174 |  -0.739565293837285 |  0.051313927565497464  |   0.23430608474907247   |    1.10E+00   |
|     25    | -0.0881729046918941  | -1.7588695703348876 |  -0.2435970406405411   |   0.003191799897807261  |    1.09E+00   |
|     26    | -0.17988977136328077 |  -0.746997375807441 |  0.04916363491967779   |   0.23262095465681915   |    1.08E+00   |
|     27    | -0.08884164246418108 |  -1.751491678113254 |  -0.2414624264840323   |   0.004864643153573378  |    1.07E+00   |
|     28    | -0.17922590957754148 | -0.7543214733957914 |  0.04704458493546926   |   0.23096030865018338   |    1.07E+00   |
|     29    | -0.08950066381579075 | -1.7442209829238624 |  -0.23935882718863633  |  0.0065131808452247725  |    1.06E+00   |
|     30    | -0.17857169336686773 | -0.7615391555606391 |  0.04495632367284352   |   0.22932379098781835   |    1.05E+00   |
|     31    | -0.0901501099213878  |   -1.7370559272482  |  -0.23728579212415063  |   0.008137766120281366  |    1.04E+00   |
|     32    | -0.17792698258594591 | -0.7686519684641184 |  0.04289840378729065   |   0.22771105109711867   |    1.04E+00   |
|     33    | -0.09079011990444066 |  -1.729994976197708 |  -0.23524287720780085  |   0.009738746995208648  |    1.03E+00   |
|     34    | -0.17729163912570228 | -0.7756614358034121 |  0.04087038443398955   |    0.226121743499121    |    1.02E+00   |
