+----+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+----------------------+---------------------+------------------------+---------------+
| n  |          x0         |          x1         |          x2         |          x3         |          x4         |          x5         |          x6         |          x7          |          x8         |           x9           |     Error     |
+----+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+----------------------+---------------------+------------------------+---------------+
| 0  |          0          |          0          |          0          |          0          |          0          |          0          |          0          |          0           |          0          |           0            | Doesn't exist |
| 1  | 0.15280172884241774 | 0.13541485077749998 |  0.1432615931433566 |  0.1034542080345934 | 0.12238996068201284 | 0.09565474215022837 | 0.10184205472694466 | 0.06464432607204829  |  0.0904260583532879 | -0.056012049549693334  |    3.51E-01   |
| 2  | 0.03381407310556764 | 0.04052185543378966 | 0.05375324036617113 | 0.06674552495828807 | 0.07581940677818783 | 0.08874096447235538 | 0.07357394610346932 | 0.07337781718511455  | 0.08294098075580388 |  0.058731825825147535  |    2.21E-01   |
| 3  | 0.09242341750337069 | 0.08208997143836966 | 0.08191958369698012 | 0.06667120233043686 | 0.08261978405047249 |  0.072902112987659  | 0.07113148116522572 | 0.05130703425508727  |  0.0681217251949104 |  -0.03025716129091916  |    1.22E-01   |
| 4  | 0.07554714275465199 | 0.07549641885236333 | 0.08491902555766673 | 0.07682770620110844 | 0.08865071737626601 | 0.08590433379914884 | 0.08029065933341696 | 0.06647124827891362  | 0.08228603938722157 |  0.016285167040733756  |    5.77E-02   |
| 5  | 0.07370784673413154 |  0.0682245254021827 | 0.07418322259668862 | 0.06878374021029038 |  0.0822052870124444 | 0.08031932202421385 |  0.0733882101550868 | 0.060001041080544465 | 0.07410168967460212 | 0.00029535031695630907 |    2.69E-02   |
| 6  |  0.0799213080821811 | 0.07680599908632521 | 0.08247762122640716 | 0.07237011213947141 | 0.08579806442252452 | 0.08102051790221867 | 0.07673732431009495 | 0.06129498348894346  | 0.07741950933002213 |  0.001435464588222148  |    1.52E-02   |
| 7  | 0.07514221731694912 | 0.07131626380458873 | 0.07842920364602174 | 0.07179300066670596 | 0.08458575440353142 |  0.0821385465861889 | 0.07572527240155238 | 0.06192831366420885  | 0.07668536789674776 |  0.004727579669824175  |    9.23E-03   |
| 8  | 0.07750666496127949 | 0.07367780028937818 | 0.07956865064979612 | 0.07117439972374327 | 0.08461832175423234 | 0.08093466304861477 | 0.07572632638301993 | 0.06107945962213384  |  0.0764817089470213 | 0.0016616684612415266  |    4.95E-03   |
| 9  |  0.0767966524463815 | 0.07316607567810225 | 0.07971408103463254 | 0.07191121446767537 | 0.08491898452222518 | 0.08167002327754216 | 0.07596162998260171 | 0.06160003532826526  | 0.07681994335370139 | 0.0033551645027361165  |    2.30E-03   |
| 10 | 0.07676231435533688 | 0.07295516769099719 | 0.07928199541840908 | 0.07143382987217778 |  0.0846595500944429 | 0.08136924897562922 | 0.07578501092063963 | 0.06140287895951247  | 0.07660139776294933 |  0.002752286432965896  |    1.05E-03   |
| 11 | 0.07697886315725967 | 0.07327464777619616 | 0.07960558450923622 | 0.07164576137897963 | 0.08479500843014637 | 0.08142567153006734 | 0.07585890433199936 | 0.06142339608913838  | 0.07669117905394127 |  0.00280749729058894   |    5.81E-04   |
| 12 |  0.0768080868260172 | 0.07306037216085438 | 0.07945076919995786 | 0.07159301201290952 |  0.0847517103891662 | 0.08145888633703383 |  0.0758496066223072 | 0.06146087641553273  |  0.0766746385364487 |  0.002920221405765282  |    3.45E-04   |
| 13 | 0.07689239889599028 | 0.07315580932339723 | 0.07949335774414246 |  0.071581360288355  | 0.08475151156172742 | 0.08141586294042277 | 0.07583530270541392 | 0.06142354405029506  | 0.07666492644043055 | 0.0028125203845230217  |    1.83E-04   |
| 14 | 0.07686780597890705 | 0.07313252583771916 | 0.07949929960548799 | 0.07160499378925675 | 0.08476323908459424 | 0.08144306499570521 | 0.07585067478125489 | 0.06144475859876826  | 0.07667704274386504 | 0.0028717532113133187  |    8.34E-05   |
| 15 | 0.07686577056535895 | 0.07312684523346749 | 0.07948292561032519 | 0.07158837519291344 | 0.08475355482002309 |  0.0814317648090806 | 0.07584131619360891 | 0.06143708515018626  | 0.07666977970527944 |  0.002851319904099009  |    3.77E-05   |
