+----+----------------------+---------------------+----------------------+---------------------+------------------------+
| n  |          x0          |          x1         |          x2          |          x3         |         Error          |
+----+----------------------+---------------------+----------------------+---------------------+------------------------+
| 0  |          0           |          0          |          0           |          0          |     Doesn't exist      |
| 1  | 0.07142857142857142  | -1.3333333333333333 |         0.0          | 0.16666666666666666 |   1.3456067762804562   |
| 2  | -0.16666666666666666 | -1.4444444444444444 | -0.21279761904761904 | 0.16666666666666666 |   0.3381092250860798   |
| 3  | -0.16733985260770973 |  -1.089781746031746 | -0.1076388888888889  | 0.06026785714285715 |  0.38492226230937643   |
| 4  | -0.09378543083900226 | -1.1941137566137565 | -0.05631953302154197 | 0.11284722222222221 |  0.14728777041085997   |
| 5  |  -0.12737834779249   | -1.3146989264455782 | -0.10942445554610733 |  0.1385069001558957 |  0.13837564496981805   |
| 6  | -0.14814292842633087 | -1.2432971741937515 | -0.10930487316919575 |  0.111954438893613  |  0.07895837848233969   |
| 7  | -0.1303648021994828  |  -1.225794837313749 | -0.08833783499190431 | 0.11201423008206879 |  0.03258855371619077   |
| 8  | -0.12937919714027638 |  -1.260779761734872 | -0.09504284294460653 |  0.1224977491707145 |  0.03714535850159765   |
| 9  | -0.13689340551485682 | -1.2565937612061322 | -0.10056398096989046 | 0.11914524519436338 |  0.010756773490638834  |
| 10 | -0.13494318015855913 | -1.2451568618464248 | -0.09607409521798582 | 0.11638467618172144 |  0.012743071107199262  |
| 11 | -0.1328413095144107  | -1.2507996254245046 | -0.09544705991288113 | 0.11862961905767376 |  0.006456901950082078  |
| 12 | -0.13433361908334454 |  -1.253341312850314 | -0.09734364961196233 |  0.1189431367102261 |  0.003518878887539527  |
| 13 | -0.13465082306639786 |  -1.25038934178688  | -0.0969348006090061  |  0.1179948418606855 |  0.003143433179677753  |
| 14 | -0.13398737502910688 | -1.2504385602254469 | -0.09634793380645393 | 0.11819926636216362 | 0.0009103778191622396  |
| 15 | -0.13409473229236385 | -1.2515529545640192 | -0.09669858666126264 |  0.1184926997634397 | 0.0012093225001569975  |
| 16 | -0.13431272296575245 | -1.2511641554068553 | -0.09680254690953545 | 0.11831737333603536 | 0.0004901344791616195  |
| 17 | -0.13419966123202262 | -1.2508740040414645 | -0.09663399377648291 | 0.11826539321189894 | 0.0003578866614435339  |
| 18 | -0.13415539908243154 | -1.2511202725137944 | -0.09665100696491544 |  0.1183496697784252 | 0.00026457378289660176 |
| 19 | -0.13421344408402675 | -1.2511481015774244 | -0.09670918888416011 | 0.11834116318420895 | 8.718472839242739e-05  |
+----+----------------------+---------------------+----------------------+---------------------+------------------------+
