+----+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+----------------------+----------------------+------------------------+------------------------+
| n  |          x0         |          x1         |          x2         |          x3         |          x4         |          x5         |          x6         |          x7          |          x8          |           x9           |         Error          |
+----+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+---------------------+----------------------+----------------------+------------------------+------------------------+
| 0  |          0          |          0          |          0          |          0          |          0          |          0          |          0          |          0           |          0           |           0            |     Doesn't exist      |
| 1  |  0.1091440920302984 | 0.11008608732028446 | 0.11105434999888945 | 0.10794706276042229 | 0.10636261141483545 | 0.10538185113759709 | 0.10058237193349494 | 0.10275696949145575  | 0.10224739780372588  |          0.05          |   0.3225921493085737   |
| 2  |  0.0623642917389898 | 0.05418545086725211 |  0.0643626563243588 | 0.05594272407935464 | 0.07448120451952576 | 0.06949067894356296 | 0.06215164176570529 | 0.042986750962673306 | 0.061776682604921494 |  -0.01712843183136552  |  0.15393473263411087   |
| 3  | 0.08393666713664898 |  0.0818382608171919 | 0.08675027115365441 | 0.07921427231555156 | 0.08976335009492044 | 0.08714718419625009 | 0.08218327129960815 | 0.07049309319365062  |  0.083469610056215   |  0.011952429573270768  |  0.07274789571361637   |
| 4  | 0.07355140406698028 | 0.06898544458601218 |  0.0760534846152884 | 0.06800722754538475 | 0.08240885241211388 | 0.07873982546610146 | 0.07283483073086394 | 0.05719107103885839  | 0.07344022128120906  | -0.0015597341245875529 |   0.0344288298854647   |
| 5  | 0.07844577108053141 | 0.07509862650566512 | 0.08111902075500063 | 0.07329661442173886 | 0.08587397400892319 |  0.0827130908887082 | 0.07727048361999338 | 0.06345490016970251  | 0.07820519940522885  |  0.004930084502571275  |  0.01632453158975173   |
| 6  | 0.07612336206364606 | 0.07220151871319044 | 0.07871899662422124 |   0.07078739752167  | 0.08422833980376333 | 0.08082837454009043 | 0.07516847169922707 | 0.060482892402218866 | 0.07594603025807499  |  0.001869115454783765  |  0.007734858186597445  |
| 7  | 0.07722376009397125 | 0.07357409822197926 | 0.07985646526393067 | 0.07197636433902933 | 0.08500774662187523 | 0.08172136587447505 | 0.07616459165116313 | 0.06189117381069687  | 0.07701614203045999  | 0.0033213287271031513  |  0.003665625447506508  |
| 8  | 0.07670229546430556 | 0.07292357201411281 | 0.07931744228061799 | 0.07141293003153583 | 0.08463835910039597 | 0.08129817829381254 | 0.07569253037560698 | 0.06122381600706308  | 0.07650892970934259  |  0.002633237902272112  | 0.0017371212334853373  |
| 9  | 0.07694941962104648 | 0.07323184491335795 | 0.07957288551721582 | 0.07167994255696092 | 0.08481341104762159 |  0.0814987266602631 | 0.07591623772376101 | 0.061540080036618976 | 0.07674928478845656  |  0.002959317491958041  | 0.0008232124109241279  |
| 10 | 0.07683230937634931 | 0.07308575510520585 | 0.07945183242087689 | 0.07155340705935004 |  0.0847304553195283 | 0.08140368806719762 | 0.07581022392411196 | 0.06139020492846177  | 0.07663538091577635  | 0.0028047875758260565  | 0.0003901168718418232  |
| 11 | 0.07688780746679842 | 0.07315498638294435 |  0.079509198942161  |  0.0716133717008113 | 0.08476976776041853 | 0.08144872646423529 | 0.07586046340185572 | 0.06146123014928482  | 0.07668935945251533  |  0.002878018186647446  | 0.00018487455469527424 |
| 12 | 0.07686150718193452 | 0.07312217800670165 | 0.07948201321056894 | 0.07158495473515444 | 0.08475113778713313 | 0.08142738297832755 | 0.07583665514803713 | 0.06142757162785689  | 0.07666377928547613  | 0.0028433144903689867  | 8.761120513951553e-05  |
| 13 | 0.07687397076583849 | 0.07313772574718712 |  0.0794948964034931 | 0.07159842140428425 |  0.0847599664466465 | 0.08143749755822977 | 0.07584793777052082 | 0.06144352224591878  | 0.07667590161155256  | 0.0028597604094853456  | 4.151854745122841e-05  |
| 14 | 0.07686806433057623 | 0.07313035774463982 | 0.07948879111751055 | 0.07159203961157068 | 0.08475578258544858 | 0.08143270430524287 | 0.07584259098759855 |  0.0614359633211392  | 0.07667015689721612  | 0.0028519667640775127  | 1.9675448811233756e-05 |
| 15 |  0.0768708633630842 | 0.07313384940720645 | 0.07949168438447587 |  0.0715950639137972 | 0.08475776529802749 | 0.08143497580579681 |  0.0758451248034544 | 0.06143954546082998  | 0.07667287929096074  | 0.0028556601368856403  | 9.324104785082833e-06  |
